panel,value_role,experimental_unit,unit_id,E,subject_id,Treatment,Sex,Genotype,study_day,value_name,plotted_value
C,cage_day_trajectory,cage,E2,E2,,Allulose,,,3,body_weight_change_pct,-3.3585680211300226
C,cage_day_trajectory,cage,E2,E2,,Allulose,,,6,body_weight_change_pct,-3.10597825197576
C,cage_day_trajectory,cage,E3,E3,,Sucrose,,,1,body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E3,E3,,Sucrose,,,3,body_weight_change_pct,1.304711039162125
C,cage_day_trajectory,cage,E3,E3,,Sucrose,,,6,body_weight_change_pct,0.36805614502521333
C,cage_day_trajectory,cage,E4,E4,,Sucrose,,,1,body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E4,E4,,Sucrose,,,3,body_weight_change_pct,-1.6967126193001076
C,cage_day_trajectory,cage,E4,E4,,Sucrose,,,6,body_weight_change_pct,-3.1459879816189487
C,cage_day_trajectory,cage,E5,E5,,Allulose,,,1,body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E5,E5,,Allulose,,,3,body_weight_change_pct,-13.137480491940673
C,cage_day_trajectory,cage,E5,E5,,Allulose,,,6,body_weight_change_pct,-9.255888890550354
C,cage_day_trajectory,cage,E6,E6,,Allulose,,,1,body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E6,E6,,Allulose,,,3,body_weight_change_pct,-16.633532140490388
C,cage_day_trajectory,cage,E6,E6,,Allulose,,,6,body_weight_change_pct,-20.8416169648774
C,cage_day_trajectory,cage,E7,E7,,Sucrose,,,1,body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E7,E7,,Sucrose,,,3,body_weight_change_pct,1.867499396156094
C,cage_day_trajectory,cage,E7,E7,,Sucrose,,,6,body_weight_change_pct,1.893999516924874
C,cage_day_trajectory,cage,E8,E8,,Allulose,,,1,body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E8,E8,,Allulose,,,3,body_weight_change_pct,-6.312305485643314
C,cage_day_trajectory,cage,E8,E8,,Allulose,,,6,body_weight_change_pct,0.40409010266350975
C,cage_day_trajectory,cage,E9,E9,,Sucrose,,,1,body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E9,E9,,Sucrose,,,3,body_weight_change_pct,-0.0784006272050299
C,cage_day_trajectory,cage,E9,E9,,Sucrose,,,6,body_weight_change_pct,-0.9800078400627203
D,cage_endpoint,cage,E1,E1,,Sucrose,,,6,cage_mean_body_weight_change_pct,4.4531048894351954
D,cage_endpoint,cage,E2,E2,,Allulose,,,6,cage_mean_body_weight_change_pct,-3.10597825197576
D,cage_endpoint,cage,E3,E3,,Sucrose,,,6,cage_mean_body_weight_change_pct,0.3680561450252133
D,cage_endpoint,cage,E4,E4,,Sucrose,,,6,cage_mean_body_weight_change_pct,-3.1459879816189487
D,cage_endpoint,cage,E5,E5,,Allulose,,,6,cage_mean_body_weight_change_pct,-9.255888890550354
D,cage_endpoint,cage,E6,E6,,Allulose,,,6,cage_mean_body_weight_change_pct,-20.8416169648774
D,cage_endpoint,cage,E7,E7,,Sucrose,,,6,cage_mean_body_weight_change_pct,1.893999516924874
D,cage_endpoint,cage,E8,E8,,Allulose,,,6,cage_mean_body_weight_change_pct,0.4040901026635097
D,cage_endpoint,cage,E9,E9,,Sucrose,,,6,cage_mean_body_weight_change_pct,-0.9800078400627203
D,cage_endpoint,cage,E10,E10,,Water,,,6,cage_mean_body_weight_change_pct,1.0860550415849028
D,cage_endpoint,cage,E11,E11,,Water,,,6,cage_mean_body_weight_change_pct,-2.524402558061259
D,cage_endpoint,cage,E12,E12,,Water,,,6,cage_mean_body_weight_change_pct,-1.4113740141137396
