sample_id,treatment,cohort,organ,model_class_raw,displayed_class_count,displayed_total_count,displayed_class_fraction,displayed_class_percent,log10_displayed_class_count_plus_1,phenotype_display
m26-003,Sucrose,POMC,Kidney,Minor Stromal Cell,0,13395,0.0,0.0,0.0,Minor stromal-like
m26-003,Sucrose,POMC,Spleen,Lymphocytes,399,12666,0.031501657981999054,3.1501657981999056,2.6020599913279625,Lymphocyte-like
m26-003,Sucrose,POMC,Spleen,Fibroblasts,7113,12666,0.5615821885362388,56.15821885362388,3.8521138608497614,Fibroblast-like
m26-003,Sucrose,POMC,Spleen,Plasmocytes,11,12666,0.0008684667614084952,0.08684667614084952,1.0791812460476249,Plasmocyte-like
m26-003,Sucrose,POMC,Spleen,Eosinophils,0,12666,0.0,0.0,0.0,Eosinophil-like
m26-003,Sucrose,POMC,Spleen,Neutrophils,236,12666,0.01863255960840044,1.863255960840044,2.374748346010104,Neutrophil-like
m26-003,Sucrose,POMC,Spleen,Macrophages,1834,12666,0.14479709458392548,14.479709458392549,3.263636068588108,Macrophage-like
m26-003,Sucrose,POMC,Spleen,Muscle Cell,28,12666,0.0022106426654034425,0.22106426654034425,1.462397997898956,Muscle-like
m26-003,Sucrose,POMC,Spleen,Endothelial Cell,34,12666,0.0026843518079898944,0.2684351807989894,1.5440680443502757,Endothelial-like
m26-003,Sucrose,POMC,Spleen,Red blood cell,0,12666,0.0,0.0,0.0,RBC-like
m26-003,Sucrose,POMC,Spleen,Epithelial,2557,12666,0.20187904626559292,20.18790462655929,3.407900540142635,Epithelial-like
m26-003,Sucrose,POMC,Spleen,Apoptotic Body,454,12666,0.035843991789041525,3.5843991789041527,2.6580113966571126,Apoptotic-like
m26-003,Sucrose,POMC,Spleen,Mitotic Figures,0,12666,0.0,0.0,0.0,Mitotic-like
m26-003,Sucrose,POMC,Spleen,Minor Stromal Cell,0,12666,0.0,0.0,0.0,Minor stromal-like
m26-004,Sucrose,NPY,Liver,Lymphocytes,15,2672,0.00561377245508982,0.561377245508982,1.2041199826559248,Lymphocyte-like
m26-004,Sucrose,NPY,Liver,Fibroblasts,121,2672,0.045284431137724554,4.528443113772456,2.0863598306747484,Fibroblast-like
m26-004,Sucrose,NPY,Liver,Plasmocytes,1,2672,0.00037425149700598805,0.037425149700598806,0.3010299956639812,Plasmocyte-like
m26-004,Sucrose,NPY,Liver,Eosinophils,0,2672,0.0,0.0,0.0,Eosinophil-like
m26-004,Sucrose,NPY,Liver,Neutrophils,12,2672,0.004491017964071856,0.4491017964071856,1.1139433523068367,Neutrophil-like
m26-004,Sucrose,NPY,Liver,Macrophages,418,2672,0.156437125748503,15.6437125748503,2.622214022966295,Macrophage-like
m26-004,Sucrose,NPY,Liver,Muscle Cell,0,2672,0.0,0.0,0.0,Muscle-like
m26-004,Sucrose,NPY,Liver,Endothelial Cell,1,2672,0.00037425149700598805,0.037425149700598806,0.3010299956639812,Endothelial-like
m26-004,Sucrose,NPY,Liver,Red blood cell,0,2672,0.0,0.0,0.0,RBC-like
m26-004,Sucrose,NPY,Liver,Epithelial,252,2672,0.09431137724550898,9.431137724550897,2.403120521175818,Epithelial-like
m26-004,Sucrose,NPY,Liver,Apoptotic Body,1852,2672,0.6931137724550899,69.311377245509,3.2678754193188975,Apoptotic-like
m26-004,Sucrose,NPY,Liver,Mitotic Figures,0,2672,0.0,0.0,0.0,Mitotic-like
m26-004,Sucrose,NPY,Liver,Minor Stromal Cell,0,2672,0.0,0.0,0.0,Minor stromal-like
m26-004,Sucrose,NPY,Kidney,Lymphocytes,18,10861,0.0016573059570941901,0.165730595709419,1.2787536009528289,Lymphocyte-like
m26-004,Sucrose,NPY,Kidney,Fibroblasts,563,10861,0.0518368474357794,5.18368474357794,2.751279103983342,Fibroblast-like
m26-004,Sucrose,NPY,Kidney,Plasmocytes,0,10861,0.0,0.0,0.0,Plasmocyte-like
m26-004,Sucrose,NPY,Kidney,Eosinophils,0,10861,0.0,0.0,0.0,Eosinophil-like
