sample_id,treatment,cohort,organ,model_class_raw,clr_value,analysis_eligible,detected_animals,total_class_count,eligibility_rule,pseudocount_applied,phenotype_display,pseudocount
m26-016,Water,POMC,Kidney,Macrophages,1.6446193052953144,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-017,Water,POMC,Kidney,Macrophages,1.850358991492298,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-018,Water,POMC,Kidney,Macrophages,2.5446623881658113,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-019,Water,NPY,Kidney,Macrophages,1.0805652191652313,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-020,Water,NPY,Kidney,Macrophages,1.3118642853649929,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-021,Water,NPY,Kidney,Macrophages,1.519941828785801,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-022,Allulose,POMC,Kidney,Macrophages,1.4628894733893527,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-023,Sucrose,POMC,Kidney,Macrophages,0.6459070219825094,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-024,Sucrose,POMC,Kidney,Macrophages,-1.3998097560224245,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-001,Sucrose,NPY,Kidney,Muscle Cell,-2.2676351670000137,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-002,Sucrose,NPY,Kidney,Muscle Cell,-2.141397692838763,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-003,Sucrose,POMC,Kidney,Muscle Cell,-1.8681899775438788,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-004,Sucrose,NPY,Kidney,Muscle Cell,-2.1715209304575147,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-005,Sucrose,POMC,Kidney,Muscle Cell,-1.9283683973102557,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-006,Sucrose,POMC,Kidney,Muscle Cell,-1.5908707118567502,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-007,Sucrose,POMC,Kidney,Muscle Cell,-1.9592185095609955,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-008,Allulose,POMC,Kidney,Muscle Cell,-2.2305580160579974,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-009,Allulose,POMC,Kidney,Muscle Cell,-2.736234551123197,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-010,Allulose,POMC,Kidney,Muscle Cell,-1.8996599849640203,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-011,Allulose,POMC,Kidney,Muscle Cell,-1.1250607535637105,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
