animal_id,sample_id,condition,channel,role,used_by_numeric_analysis,path,size_bytes,sha256
WATER_NPY1,water-npy1-0001,Water,DAPI,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_dapi.tif,24358910,be0cc8986ea8a2b0de186786c05e71d6b6dcb46e8ebd4862a789d9a2a957234e
WATER_NPY1,water-npy1-0001,Water,NPY,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_GFP.tif,24358910,a189feaef6217f70aa2e24e819868b693c38b8ddc528b29efb8c6b0401d0c926
WATER_NPY1,water-npy1-0001,Water,NeuN,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_NeuN.tif,24358910,ce6cccee2ca5245c53ce8ebd931cdf49870882216ab72cecd4f5b31e8cbfd2be
WATER_NPY1,water-npy1-0001,Water,c-FOS,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_fos.tif,24358910,c104e16e464765ebe79c18c5eb0db13a3433669530019828a392d4f031fc723a
WATER_NPY2,water-npy2-0001,Water,DAPI,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_dapi.tif,42378926,d5d40182e3d4bf396ef1277815f851d111aa90bfba3d6b2bf7083080c9657044
WATER_NPY2,water-npy2-0001,Water,NPY,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_GFP.tif,42378926,aa1fd314b875032d648f0eb068842353537c7fe00b2ba7e0bf33a99e665ef6e7
WATER_NPY2,water-npy2-0001,Water,NeuN,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_NeuN.tif,42378926,23c0864736353aea6a0b4496405e04794388d5eab91a15d5e1b1d43452d9c7ec
WATER_NPY2,water-npy2-0001,Water,c-FOS,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_fos.tif,42378926,d52c02775b283a12379b579c061d13a478543bb0c21f65342d5efefd2347f03c
WATER_NPY3,water-npy3-s01,Water,DAPI,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY3_S01_dapi.tif,6044540,a19eddebca230df50a266e9531936582e3d084e97621f90ad906b80d044db877
WATER_NPY3,water-npy3-s01,Water,NPY,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY3_S01_GFP.tif,6565299,eee6c2984e3091dadc851d04b0a8d0220cc4e14ce3ca61a06dd12bcbb132f93e
WATER_NPY3,water-npy3-s01,Water,c-FOS,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY3_S01_fos.tif,8413489,b9164dd8ca0091c5191455f39dac24817f0574e3677efbbdcd7f8e7a7035edc2
WATER_NPY3,water-npy3-s01,Water,NeuN,display_only_failed_channel,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY3_S01_NeuN_display_only.tif,4847768,45af96f64bf286f28fa9fbce7a0ac1e2db72e6895fb707a254a3fb6751a22dae
WATER_NPY3,water-npy3-s01,Water,NeuN,display_only_failure_receipt,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY3_S01_NeuN_display_only_provenance.json,3015,93626ff75d90027e9e93d11c14aae623023d57b09c00625ab0147dfffd84c323
,,,,metadata_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/apotome_2025_07_28_npy_samplesheet.csv,566,72a8a04698538f53eece8ff5b435eb2448a7de7cf0c5ac0a32b361e1a807f090
,,,,metadata_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY3_S01_extraction_provenance.json,6266,cc74936c087a4313bff6764fe5a689e8ec1ac088cf6ca8dce1bfcd20c9537029
,,,,metadata_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/apotome_2025_07_28_npy_water_samplesheet.csv,219,81d0abd9c1b3716d1bdfaddc7d86ecbd81f51ef5f1a3272aa615b728b8d4c98f
,,,,metadata_companion,False,scripts/Fig3/00_extract_water3_neun_display.py,9825,2b834ae47f54d0c4d9e62d0a081eeee04150e2b6a726f70749643227d2ad7659
