phenotype,acquisition_id,animal_id,condition,y_bin,x_bin,binary_occurrence,smoothed_occurrence,tissue_occupancy,analysis_domain_occupancy,ventricle_occupancy,ventricle_exclusion_applied,ventricle_exclusion_source,tissue_boundary_source
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,3,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,4,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,5,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,6,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,7,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,8,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,9,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,10,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,11,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,12,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,13,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,14,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,15,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,16,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,17,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,18,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,19,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,20,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,21,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,22,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,23,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,24,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,25,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,26,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,27,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,28,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,29,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,30,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,31,0.0,2.0420299051693291e-07,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,32,0.0,3.6377277865540236e-06,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,33,0.0,3.417038169573061e-05,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,34,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,35,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,36,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,37,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,38,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,39,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,40,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,41,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,42,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,43,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,44,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,45,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,46,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
