analysis_unit_id,acquisition_id,animal_id,condition,region,region_present,endpoint,endpoint_label,value,analysis_unit
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ME,True,double_over_total_acth_clip,c-FOS+ ACTH/CLIP+ / total ACTH/CLIP,0.0,acquisition
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ME,True,total_cfos_over_dapi,total c-FOS+ / DAPI,0.0055248618784530384,acquisition
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ME,True,total_acth_clip_over_dapi,total ACTH/CLIP+ / DAPI,0.0013812154696132596,acquisition
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ME,True,double_over_dapi,c-FOS+ ACTH/CLIP+ / DAPI,0.0,acquisition
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ME,True,double_per_100k_um2,"c-FOS+ ACTH/CLIP+ / 100,000 µm²",0.0,acquisition
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ME,True,n_double,c-FOS+ ACTH/CLIP+ nuclei,0.0,acquisition
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ARC,True,double_over_total_acth_clip,c-FOS+ ACTH/CLIP+ / total ACTH/CLIP,0.19444444444444445,acquisition
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ARC,True,total_cfos_over_dapi,total c-FOS+ / DAPI,0.09403669724770643,acquisition
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ARC,True,total_acth_clip_over_dapi,total ACTH/CLIP+ / DAPI,0.08256880733944955,acquisition
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ARC,True,double_over_dapi,c-FOS+ ACTH/CLIP+ / DAPI,0.016055045871559634,acquisition
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ARC,True,double_per_100k_um2,"c-FOS+ ACTH/CLIP+ / 100,000 µm²",4.580311684084153,acquisition
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ARC,True,n_double,c-FOS+ ACTH/CLIP+ nuclei,14.0,acquisition
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ME,True,double_over_total_acth_clip,c-FOS+ ACTH/CLIP+ / total ACTH/CLIP,,acquisition
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ME,True,total_cfos_over_dapi,total c-FOS+ / DAPI,0.007575757575757576,acquisition
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ME,True,total_acth_clip_over_dapi,total ACTH/CLIP+ / DAPI,0.0,acquisition
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ME,True,double_over_dapi,c-FOS+ ACTH/CLIP+ / DAPI,0.0,acquisition
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ME,True,double_per_100k_um2,"c-FOS+ ACTH/CLIP+ / 100,000 µm²",0.0,acquisition
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ME,True,n_double,c-FOS+ ACTH/CLIP+ nuclei,0.0,acquisition
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ARC,True,double_over_total_acth_clip,c-FOS+ ACTH/CLIP+ / total ACTH/CLIP,0.2903225806451613,acquisition
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ARC,True,total_cfos_over_dapi,total c-FOS+ / DAPI,0.08624031007751938,acquisition
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ARC,True,total_acth_clip_over_dapi,total ACTH/CLIP+ / DAPI,0.030038759689922482,acquisition
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ARC,True,double_over_dapi,c-FOS+ ACTH/CLIP+ / DAPI,0.00872093023255814,acquisition
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ARC,True,double_per_100k_um2,"c-FOS+ ACTH/CLIP+ / 100,000 µm²",3.2799889226359498,acquisition
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ARC,True,n_double,c-FOS+ ACTH/CLIP+ nuclei,9.0,acquisition
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ME,True,double_over_total_acth_clip,c-FOS+ ACTH/CLIP+ / total ACTH/CLIP,,acquisition
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ME,True,total_cfos_over_dapi,total c-FOS+ / DAPI,0.0055147058823529415,acquisition
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ME,True,total_acth_clip_over_dapi,total ACTH/CLIP+ / DAPI,0.0,acquisition
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ME,True,double_over_dapi,c-FOS+ ACTH/CLIP+ / DAPI,0.0,acquisition
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ME,True,double_per_100k_um2,"c-FOS+ ACTH/CLIP+ / 100,000 µm²",0.0,acquisition
