analysis_unit_id,acquisition_id,marker,roi_label,roi_area_px,assigned_nucleus,best_overlap_px,roi_overlap_fraction,accepted,reason,marker_display,dapi_area_reference_n,dapi_area_quantile,dapi_area_threshold_px,dapi_area_median_px,size_filter_pass,likely_noncell_by_size,dapi_expansion_px
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,130,602,2094,549,0.9119601328903655,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,131,566,2131,557,0.9840989399293286,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,132,204,2177,95,0.46568627450980393,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,133,463,2192,439,0.9481641468682506,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,134,704,2219,561,0.796875,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,135,384,2225,283,0.7369791666666666,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,136,680,2246,576,0.8470588235294118,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,137,567,3550,310,0.54673721340388,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,138,451,2271,441,0.9778270509977827,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,139,375,2281,337,0.8986666666666666,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,140,320,2313,239,0.746875,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,141,382,2322,320,0.837696335078534,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,142,709,2320,653,0.921015514809591,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,143,763,2332,682,0.8938401048492791,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,144,322,2343,318,0.9875776397515528,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,145,376,2345,357,0.949468085106383,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,146,670,2351,619,0.9238805970149254,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,147,530,2359,426,0.8037735849056604,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,148,297,2365,220,0.7407407407407407,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,149,751,2387,658,0.8761651131824234,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,150,523,2403,452,0.864244741873805,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,151,490,2411,460,0.9387755102040817,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,152,285,2413,243,0.8526315789473684,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,153,573,2421,527,0.9197207678883071,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,154,375,2417,375,1.0,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,155,680,2425,642,0.9441176470588235,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,156,602,2437,585,0.9717607973421927,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,157,951,2442,815,0.8569926393270242,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,158,380,2453,380,1.0,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,159,349,2451,349,1.0,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,160,388,2457,267,0.6881443298969072,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,161,314,2460,246,0.7834394904458599,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,162,609,2473,604,0.9917898193760263,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,163,375,2474,351,0.936,True,accepted_strict_direct_overlap,,,,,,,,
