animal_order,animal_id,sample_id,condition,condition_order,experimental_unit,field_count,endpoint,endpoint_label,radial_shell,shell_dapi_quantile_start,shell_dapi_quantile_end,shell_dapi_nuclei,shell_positive_nuclei,occurrence_rate,occurrence_percent,arcsin_sqrt_occurrence,shell_inner_whitened_radius,shell_outer_whitened_radius,inference_role
4,E7_FR7-1,e7-fr7-1,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,3,0.333333333333,0.5,510,10,0.0196078431373,1.96078431373,0.140489701754,1.11343235437,1.3637896277,one component of one animal-level six-shell vector
4,E7_FR7-1,e7-fr7-1,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,4,0.5,0.666666666667,510,7,0.0137254901961,1.37254901961,0.117425509742,1.3637896277,1.59612535079,one component of one animal-level six-shell vector
4,E7_FR7-1,e7-fr7-1,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,5,0.666666666667,0.833333333333,510,3,0.00588235294118,0.588235294118,0.0767718912698,1.59612535079,1.81493700143,one component of one animal-level six-shell vector
4,E7_FR7-1,e7-fr7-1,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,6,0.833333333333,1,511,2,0.00391389432485,0.391389432485,0.0626020063581,1.81493700143,2.59383092283,one component of one animal-level six-shell vector
4,E7_FR7-1,e7-fr7-1,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,1,0,0.166666666667,510,5,0.00980392156863,0.980392156863,0.0991772610794,0.220078670846,0.806145557729,one component of one animal-level six-shell vector
4,E7_FR7-1,e7-fr7-1,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,2,0.166666666667,0.333333333333,510,4,0.0078431372549,0.78431372549,0.0886776657116,0.806145557729,1.11343235437,one component of one animal-level six-shell vector
4,E7_FR7-1,e7-fr7-1,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,3,0.333333333333,0.5,510,3,0.00588235294118,0.588235294118,0.0767718912698,1.11343235437,1.3637896277,one component of one animal-level six-shell vector
4,E7_FR7-1,e7-fr7-1,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,4,0.5,0.666666666667,510,0,0,0,0,1.3637896277,1.59612535079,one component of one animal-level six-shell vector
4,E7_FR7-1,e7-fr7-1,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,5,0.666666666667,0.833333333333,510,0,0,0,0,1.59612535079,1.81493700143,one component of one animal-level six-shell vector
4,E7_FR7-1,e7-fr7-1,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,6,0.833333333333,1,511,0,0,0,0,1.81493700143,2.59383092283,one component of one animal-level six-shell vector
