field,pomc_label,region_code,region,area_px,centroid_y,centroid_x,dapi_reference_n,mean_dapi_area_px,minimum_pomc_area_px,excluded_small,decision
FR6-1_S02_left,38,2,ME,168,622.4821428571429,910.4047619047619,227,96.34801762114537,96.34801762114537,False,retain
FR6-1_S02_left,39,2,ME,166,598.4216867469879,902.0602409638554,227,96.34801762114537,96.34801762114537,False,retain
FR6-1_S02_left,40,2,ME,179,584.0893854748604,906.268156424581,227,96.34801762114537,96.34801762114537,False,retain
FR6-1_S02_left,41,1,ARC,229,540.1310043668122,762.1091703056769,856,112.79556074766356,112.79556074766356,False,retain
FR6-1_S02_left,42,1,ARC,275,563.3454545454546,732.0545454545454,856,112.79556074766356,112.79556074766356,False,retain
FR6-1_S02_left,43,1,ARC,147,389.2857142857143,794.6054421768707,856,112.79556074766356,112.79556074766356,False,retain
FR6-1_S02_left,44,1,ARC,156,397.53205128205127,784.775641025641,856,112.79556074766356,112.79556074766356,False,retain
FR6-1_S02_left,45,1,ARC,255,269.8313725490196,731.3843137254902,856,112.79556074766356,112.79556074766356,False,retain
FR6-1_S02_left,46,0,OUTSIDE_DELINEATED_REGIONS,386,256.919689119171,278.88860103626945,817,120.70012239902081,120.70012239902081,False,retain
FR6-1_S02_left,47,2,ME,175,467.72,875.7028571428572,227,96.34801762114537,96.34801762114537,False,retain
FR6-1_S02_right,1,1,ARC,173,226.4971098265896,278.5606936416185,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,2,1,ARC,154,251.64285714285714,277.6363636363636,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,3,0,OUTSIDE_DELINEATED_REGIONS,240,291.575,561.8083333333333,1094,104.85831809872029,104.85831809872029,False,retain
FR6-1_S02_right,4,1,ARC,122,316.54918032786884,431.9590163934426,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,5,0,OUTSIDE_DELINEATED_REGIONS,195,322.75897435897434,688.9641025641025,1094,104.85831809872029,104.85831809872029,False,retain
FR6-1_S02_right,6,1,ARC,140,339.48571428571427,57.27857142857143,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,7,0,OUTSIDE_DELINEATED_REGIONS,157,341.03184713375794,704.9554140127389,1094,104.85831809872029,104.85831809872029,False,retain
FR6-1_S02_right,8,1,ARC,151,350.81456953642385,216.33774834437085,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,9,1,ARC,221,350.710407239819,238.55203619909503,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,10,0,OUTSIDE_DELINEATED_REGIONS,249,358.58232931726906,616.1405622489959,1094,104.85831809872029,104.85831809872029,False,retain
FR6-1_S02_right,11,1,ARC,98,397.07142857142856,328.7448979591837,713,94.2945301542777,94.2945301542777,False,retain
